"tournament_year","tournament_num","event_name","date","round_num","field_strength","field_size"
2010,"26","U.S. Open Championship",2010-06-20,1,-0.140234871794872,156
2010,"26","U.S. Open Championship",2010-06-20,2,-0.140234871794872,156
2010,"26","U.S. Open Championship",2010-06-20,3,0.279477831325301,83
2010,"26","U.S. Open Championship",2010-06-20,4,0.279477831325301,83
2011,"26","U.S. Open",2011-06-19,1,-0.199232435897436,156
2011,"26","U.S. Open",2011-06-19,2,-0.199174258064516,155
2011,"26","U.S. Open",2011-06-19,3,0.376297638888889,72
2011,"26","U.S. Open",2011-06-19,4,0.376297638888889,72
2012,"26","U.S. Open",2012-06-17,1,-0.0527339102564102,156
2012,"26","U.S. Open",2012-06-17,2,-0.0527339102564102,156
2012,"26","U.S. Open",2012-06-17,3,0.389476388888889,72
2012,"26","U.S. Open",2012-06-17,4,0.389476388888889,72
2013,"26","U.S. Open",2013-06-16,1,-0.0459937179487179,156
2013,"26","U.S. Open",2013-06-16,2,-0.0574212987012987,154
2013,"26","U.S. Open",2013-06-16,3,0.438137534246575,73
2013,"26","U.S. Open",2013-06-16,4,0.438137534246575,73
2014,"26","U.S. Open",2014-06-15,1,-0.0798617307692308,156
2014,"26","U.S. Open",2014-06-15,2,-0.0798617307692308,156
2014,"26","U.S. Open",2014-06-15,3,0.492141194029851,67
2014,"26","U.S. Open",2014-06-15,4,0.492141194029851,67
2015,"26","U.S. Open",2015-06-21,1,-0.120028846153846,156
2015,"26","U.S. Open",2015-06-21,2,-0.121642903225806,155
2015,"26","U.S. Open",2015-06-21,3,0.3871436,75
2015,"26","U.S. Open",2015-06-21,4,0.3871436,75
2016,"26","U.S. Open",2016-06-19,1,-0.191895290322581,155
2016,"26","U.S. Open",2016-06-19,2,-0.203485844155844,154
2016,"26","U.S. Open",2016-06-19,3,0.395921641791045,67
2016,"26","U.S. Open",2016-06-19,4,0.395921641791045,67
2017,"26","U.S. Open",2017-06-18,1,0.00664384615384615,156
2017,"26","U.S. Open",2017-06-18,2,0.010312,155
2017,"26","U.S. Open",2017-06-18,3,0.381205441176471,68
2017,"26","U.S. Open",2017-06-18,4,0.381205441176471,68
2018,"26","U.S. Open",2018-06-17,1,-0.0711689102564103,156
2018,"26","U.S. Open",2018-06-17,2,-0.0711689102564103,156
2018,"26","U.S. Open",2018-06-17,3,0.467140746268657,67
2018,"26","U.S. Open",2018-06-17,4,0.467140746268657,67
2019,"26","U.S. Open",2019-06-16,1,-0.0612257051282051,156
2019,"26","U.S. Open",2019-06-16,2,-0.0612257051282051,156
2019,"26","U.S. Open",2019-06-16,3,0.506630759493671,79
2019,"26","U.S. Open",2019-06-16,4,0.506630759493671,79
2021,"26","U.S. Open",2020-09-20,1,0.222443125,144
2021,"26","U.S. Open",2020-09-20,2,0.226513846153846,143
2021,"26","U.S. Open",2020-09-20,3,0.748418196721311,61
2021,"26","U.S. Open",2020-09-20,4,0.748418196721311,61
2021,"535","U.S. Open #2",2021-06-20,1,-0.119501474358974,156
2021,"535","U.S. Open #2",2021-06-20,2,-0.131636580645161,155
2021,"535","U.S. Open #2",2021-06-20,3,0.541751690140845,71
2021,"535","U.S. Open #2",2021-06-20,4,0.541751690140845,71
2022,"26","U.S. Open",2022-06-19,1,-0.0854503205128205,156
2022,"26","U.S. Open",2022-06-19,2,-0.0854503205128205,156
2022,"26","U.S. Open",2022-06-19,3,0.44098015625,64
2022,"26","U.S. Open",2022-06-19,4,0.44098015625,64
2023,"26","U.S. Open",2023-06-18,1,-0.107922243589744,156
2023,"26","U.S. Open",2023-06-18,2,-0.107922243589744,156
2023,"26","U.S. Open",2023-06-18,3,0.590534153846154,65
2023,"26","U.S. Open",2023-06-18,4,0.590534153846154,65
2024,"26","U.S. Open",2024-06-16,1,-0.0900846153846154,156
2024,"26","U.S. Open",2024-06-16,2,-0.0900846153846154,156
2024,"26","U.S. Open",2024-06-16,3,0.516132837837838,74
2024,"26","U.S. Open",2024-06-16,4,0.516132837837838,74
2025,"26","U.S. Open",2025-06-15,1,-0.0771405769230769,156
2025,"26","U.S. Open",2025-06-15,2,-0.0730109032258064,155
2025,"26","U.S. Open",2025-06-15,3,0.619737611940299,67
2025,"26","U.S. Open",2025-06-15,4,0.607757424242424,66
2026,"26","U.S. Open",2026-06-21,1,-0.0567767741935484,155
2026,"26","U.S. Open",2026-06-21,2,-0.0567767741935484,155
2026,"26","U.S. Open",2026-06-21,3,0.471223333333333,72
2026,"26","U.S. Open",2026-06-21,4,0.471223333333333,72
